id,date_occurred,time_of_day,time_of_day_recode,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_coastal_state_cow_code,latitude,longitude,location_precision,geolocation_source_imb,geolocation_source_imo,geolocation_source_asam,location_description,vessel_name,vessel_country,vessel_country_cow_code,vessel_status,violence_dummy,steaming_recode,incident_type_recode,incident_action_recode,,
,1/18/01,6:00:00 PM,2,Actual,Boarding,Bangladesh,Bangladesh,771,22.4765,89.5765,2,1,,0,"Mongla Anchorage, Bangladesh",Lingfield,Panama,95,Anchored,0,2,1,2,,
,1/20/01,12:30:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,-5.4666667,105.1666667,2,1,,1,"Panjang Anchorage, Indonesia",Sea-Lark,Singapore,830,Anchored,1,2,1,2,,
,1/20/01,4:15:00 AM,4,Actual,Boarding,Cote d'Ivoire,Cote d'Ivoire,437,5.2931667,-4,2,1,,1,"Abidjan, Ivory Coast",,Denmark,390,Berthed,0,3,1,2,,
,1/20/01,,-99,Actual,Boarding,Myanmar,Myanmar,775,11.215,95.676,4,1,,0,"Andaman Sea, Thailand",,Myanmar,775,Steaming,1,1,1,2,,
,1/22/01,6:45:00 AM,1,Actual,Boarding,Papua New Guinea,Papua New Guinea,910,-2.05,147.3167,4,1,,1,"Lorengau Manus Island, Papua New Guinea",Petro Navigator,Papua New Guinea,910,Steaming,1,1,1,2,,
,1/23/01,2:10:00 AM,4,Actual,Boarding,Malaysia,Malaysia,820,1.265,103.4016667,1,1,,1,Singapore Straits,Song He,China,710,Steaming,0,1,1,2,,
,1/23/01,,-99,Actual,Boarding,Bangladesh,Bangladesh,771,22.033,89.97,4,1,,0,"Patharghata, Northern Maghna River, Bangladesh",,Bangladesh,771,Steaming,1,1,1,2,,
,1/25/01,,-99,Actual,Boarding,Bangladesh,Bangladesh,771,22.8166,89.55,4,1,,0,"Manderbaria, East of Khulna, Bangladesh",,Bangladesh,771,Steaming,1,1,1,2,,
,1/26/01,4:00:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,1.2,103.3833333,1,1,,1,Singapore Straits,Khersones,Ukraine,369,Steaming,1,1,1,2,,
,1/27/01,4:20:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,3.7853333,98.6996667,1,1,,1,"Belawan Port, Indonesia",Cementia,Panama,95,Berthed,0,3,1,2,,
,1/30/01,4:36:00 AM,4,Attempted,,Malaysia,Malaysia,820,1.3166667,103.3166667,1,1,,1,Malacca Straits,Hibiscus,Malaysia,820,Steaming,0,1,0,-99,,
,1/31/01,4:25:00 AM,4,Actual,Boarding,Cote d'Ivoire,Cote d'Ivoire,437,5.2931667,-4,2,1,,0,"Abidjan, Ivory Coast",Katerina S,Cyprus,352,Berthed,0,3,1,2,,
,2/2/01,5:35:00 AM,4,Attempted,,Malaysia,Malaysia,820,1.3533333,103.28,1,1,,1,Malacca Straits,Shafinaz Ria,Malaysia,820,Steaming,0,1,0,-99,,
,2/2/01,5:35:00 AM,4,Attempted,,Malaysia,Malaysia,820,1.3466667,103.2983333,1,1,,1,Malacca Straits,Soon Sing,Malaysia,820,Steaming,0,1,0,-99,,
,2/3/01,1:05:00 AM,4,Actual,Boarding,Thailand,Thailand,800,13.3418333,100.6028333,1,1,,1,"Bagkok bar, Thailand",Malaysia Star I,Antigua and Barbuda,58,Anchored,0,2,1,2,,
,2/3/01,1:30:00 PM,2,Attempted,,Yemen,Yemen,679,12.5716667,43.3833333,1,1,,0,Red Sea,Dehkhoda,Iran,630,Steaming,0,1,0,-99,,
,2/4/01,11:00:00 PM,3,Attempted,,Bangladesh,Bangladesh,771,22.2166667,91.7931667,2,1,,0,"Chittagong Anchorage, Bangladesh",Actuaria,Antigua and Barbuda,58,Anchored,0,2,0,-99,,
,2/6/01,12:10:00 AM,4,Attempted,,Indonesia,Indonesia,850,5.0966667,97.8833333,1,1,,1,Malacca Straits,Mornes,Norway,385,Steaming,0,1,0,-99,,
,2/6/01,8:00:00 PM,3,Actual,Boarding,Indonesia,Indonesia,850,0.13,117.5733333,1,1,,1,"Lhotuan Pilot Stn, Indonesia",Crane North,Singapore,830,Anchored,0,2,1,2,,
,2/13/01,2:45:00 AM,4,Actual,Boarding,India,India,750,16.9765,82.3166667,2,1,,1,"Kakinada Inner Anchorage, india",Unitank,Panama,95,Anchored,0,2,1,2,,
,2/14/01,3:50:00 AM,4,Actual,Boarding,Nigeria,Nigeria,475,6.45,3.3766667,2,1,,0,"Lagos Anchorage, Nigeria",Mina Oldefdorff,Philippines,840,Anchored,0,2,1,2,,
,2/15/01,4:00:00 AM,4,Attempted,,Myanmar,Myanmar,775,19.7,95.45,1,1,,1,Myanmar,Olympic Flame,Panama,95,Steaming,0,1,0,-99,,
,2/15/01,3:00:00 PM,2,Attempted,,Malaysia,Malaysia,820,2.8166667,101.0566667,1,1,,1,Malacca Straits,Star Sea Bird,Panama,95,Steaming,0,1,0,-99,,
,2/15/01,,-99,Actual,Boarding,Indonesia,Indonesia,850,-5.5,105.1666667,2,1,,0,"Tarahan, Indonesia",Jia Ho,Taiwan,713,Berthed,0,3,1,2,,
,2/16/01,6:15:00 PM,3,Attempted,,Malaysia,Malaysia,820,5.8266667,118.1166667,2,1,,1,"SPA Oil Pier, Sandakan, Malaysia",Star Sapphire,Liberia,450,Berthed,0,3,0,-99,,
,2/16/01,,-99,Attempted,,Haiti,Haiti,41,18.4166667,-70,4,1,,0,"Rio Haina, Dominican Republic",Atlantic Pioneer,Cyprus,352,Steaming,0,1,0,-99,,
,2/21/01,9:30:00 PM,3,Actual,Boarding,Indonesia,Indonesia,850,0.94345,103.6520167,1,1,,1,"2NM Jankat Island, Malacca Straits",Profit Maersk,Singapore,830,Steaming,0,1,1,2,,
,2/22/01,8:20:00 AM,1,Attempted,,Yemen,Yemen,679,13.4966667,43.0166667,2,1,,1,Red Sea,Bonita Light,Hong Kong,710,Steaming,0,1,0,-99,,
,2/23/01,12:15:00 PM,2,Attempted,,Yemen,Yemen,679,13.7833333,48.2,1,1,,1,Red Sea,Ocean Star,Vietnam,816,Steaming,0,1,0,-99,,
,2/27/01,1:30:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,-2.3333333,105.5666667,1,1,,1,Indonesia,Pac Bintan,Liberia,450,Steaming,0,1,1,2,,
,2/27/01,11:45:00 PM,3,Attempted,,Indonesia,Indonesia,850,5.2916667,97.9733333,1,1,,1,"Off Ujung Peureulak Lheusemakwe, Indonesia",Greek Fighter,Bahamas,51,Steaming,0,1,0,-99,,
,3/2/01,12:30:00 AM,4,Actual,Boarding,Nigeria,Nigeria,475,6.45,3.3766667,2,1,,1,"Lagos Anchorage, Off break water 044 degs X 7NM Nigeria",Marathon,Singapore,830,Anchored,0,2,1,2,,
,3/7/01,1:00:00 AM,4,Attempted,,Philippines,Philippines,840,14.6833333,120.0833333,1,1,,1,"Manila Harbour, Philipplines",Franconia,Liberia,450,Steaming,0,1,0,-99,,
,3/8/01,4:45:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,1.0166667,105.2166667,1,1,,1,"East of Pulau Bintan, Indonesia",Lingfield,Panama,95,Steaming,1,1,1,2,,
,3/8/01,3:00:00 PM,2,Actual,Boarding,Thailand,Thailand,800,13.138,100.825,2,1,,0,"Kosichang, Thailand",Jasper,Panama,95,Anchored,0,2,1,2,,
,3/9/01,,-99,Actual,Boarding,Malaysia,Malaysia,820,5.3404,119.33,4,1,,0,"Between Selingan and Libaran Island, Sandakan, Malaysia",,Malaysia,820,Steaming,0,1,1,2,,
,3/10/01,11:30:00 AM,1,Actual,Boarding,Bangladesh,Bangladesh,771,22.2166667,91.7931667,2,1,,1,"Ammonia Jetty, Chittagong, Bangladesh",Oscar Viking,Norway,385,Berthed,0,3,1,2,,
,3/12/01,5:20:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,-6.0886667,106.875,2,1,,1,"Tg. Priok Anchorage, Indonesia",Emerald Indah,Singapore,830,Anchored,0,2,1,2,,
,3/14/01,12:01:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,0.975,105.1933333,1,1,,1,"East of Bintan Island, Indonesia",Sea Horse,,,Steaming,0,1,1,2,,
,3/15/01,2:50:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,-5.5265,104.5933333,2,1,,1,"Semangka, Indonesia",Theotokos,Panama,95,Anchored,0,2,1,2,,
,3/15/01,7:50:00 PM,3,Actual,Hijacked,Indonesia,Indonesia,850,-0.6166667,117.4233333,1,1,,1,"Pulau Riau Waters, Indonesia",Inabukwa,Indonesia,850,Steaming,1,1,1,1,,
,3/15/01,10:00:00 PM,3,Actual,Boarding,Indonesia,Indonesia,850,-6.0886667,106.875,2,1,,1,"Wharf 305, Tg. Priok Jakarta, Indonesia",Ivory Ace,Panama,95,Berthed,0,3,1,2,,
,3/17/01,3:45:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,0.1501667,117.59,1,1,,1,"Bontang Roads, Indonesia",Gaz Kandla,Panama,95,Anchored,0,2,1,2,,
,3/18/01,3:00:00 AM,4,Actual,Boarding,Congo,Congo,484,-4.8166667,11.65,1,1,,1,"Pointe Noires, Congo",Iran Teyfouri,Iran,630,Anchored,1,2,1,2,,
,3/19/01,3:00:00 AM,4,Actual,Boarding,Malaysia,Malaysia,820,1.3833333,103.25,1,1,,1,Malacca Straits,Matsumi Maru No. 7,Singapore,830,Steaming,1,1,1,2,,
,3/20/01,2:00:00 AM,4,Attempted,,Peru (Peruvian point of view),Peru (Peruvian point of view),135,-8.2166667,-78.9765,2,1,,0,"Salaverry, Peru",Baltimar Venus,Bahamas,51,Anchored,0,2,0,-99,,
,3/20/01,3:50:00 AM,4,Attempted,,Sao Tome & Principe,Sao Tome & Principe,403,0.9166667,5.85,1,1,,0,Indonesia,Sea Horse,Singapore,830,Steaming,0,1,0,-99,,
,3/20/01,12:30:00 PM,2,Actual,Boarding,Venezuela,Venezuela,101,10.7433333,-62.3683333,2,1,,1,"Punta Toleda, 2NM off the Coast of Venezuela",Lorna ,Sweden,380,Steaming,1,1,1,2,,
,3/21/01,3:48:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,0.7166667,103.6316667,1,1,,1,"Selat Durian, Indonesia",Rengganis,Singapore,830,Steaming,0,1,1,2,,
,3/22/01,12:50:00 AM,4,Actual,Boarding,Philippines,Philippines,840,13.75,121.0431667,2,1,,1,"Batangas bay, Philippines",Tarquin Loch,Panama,95,Anchored,0,2,1,2,,
,3/26/01,10:40:00 PM,3,Attempted,,Indonesia,Indonesia,850,0.2333333,108.1666667,1,1,,1,Indonesia,K Topaz,Panama,95,Steaming,0,1,0,-99,,
,3/27/01,3:50:00 AM,4,Actual,Boarding,Bangladesh,Bangladesh,771,22.1833333,91.7383333,1,1,,1,"Chittagong B Anchorage, Bangladesh",Jaya Mars,Singapore,830,Anchored,0,2,1,2,,
,3/28/01,2:40:00 AM,4,Actual,Boarding,Belgium,Belgium,211,51.0265,3.7265,2,1,,1,"Ghent, Belgium",,Norway,385,Berthed,1,3,1,2,,
,3/29/01,3:00:00 AM,4,Actual,Boarding,Malaysia,Malaysia,820,5.2666667,115.25,2,1,,1,"Labuan Anchorage, Malaysia",Red Gold,Singapore,830,Anchored,0,2,1,2,,
,3/30/01,4:25:00 AM,4,Actual,Boarding,Ecuador,Ecuador,130,-2.2666667,-79.9,2,1,,0,"Data Pilot sea buoy, Guayaquil, Ecuador",Cielo Del Cile,Cyprus,352,Anchored,0,2,1,2,,
,3/30/01,4:25:00 AM,4,Actual,Boarding,Ecuador,Ecuador,130,-2.2666667,-79.9,2,1,,0,"Guayaquil, Ecuador",,Cyprus,352,Anchored,0,2,1,2,,
,3/30/01,11:39:00 PM,3,Attempted,,Indonesia,Indonesia,850,2.7833333,101,1,1,,1,Malacca Straits,Oriental Queen,Malta,338,Steaming,0,1,0,-99,,
,4/1/01,,-99,Attempted,,Senegal,Senegal,433,14.6666667,-17.3666667,4,1,,0,"Dakar, Sengal",,Germany,255,Steaming,0,1,0,-99,,
,4/2/01,12:30:00 PM,2,Attempted,,Somalia,Somalia,520,6.8666667,50.0166667,1,1,,1,Somalia,Ya Samadu,Panama,95,Steaming,1,1,0,-99,,
,4/2/01,,-99,Attempted,,Yemen,Yemen,679,12.5833333,47.7833333,1,1,,1,Gulf of Aden,Payanke,France,220,Steaming,0,1,0,-99,,
,4/2/01,,-99,Attempted,,Philippines,Philippines,840,6.9214,122.079,4,1,,0,"Zambonga, Philippines",,Philippines,840,Steaming,1,1,0,-99,,
,4/4/01,8:45:00 PM,3,Actual,Boarding,India,India,750,9.9666667,76.25,2,1,,1,"Cochin, India",Tiger Cloud,Cyprus,352,Berthed,0,3,1,2,,
,4/4/01,10:30:00 PM,3,Attempted,,Indonesia,Indonesia,850,5.6333333,96.5333333,1,1,,1,Indonesia,Cabanos,Cyprus,352,Steaming,0,1,0,-99,,
,4/5/01,1:20:00 AM,4,Attempted,,Malaysia,Malaysia,820,1.6,102.8166667,1,1,,1,Malacca Straits,Banglar Shikha,Bangladesh,771,Steaming,0,1,0,-99,,
,4/7/01,2:00:00 PM,2,Attempted,,Yemen,Yemen,679,12.9417,52.1796,4,1,,1,"Coast of Yemen, Gulf of Aden",Jolly Avorio,Cyprus,352,Steaming,0,1,0,-99,,
,4/8/01,1:55:00 AM,4,Actual,Boarding,Brazil,Brazil,140,-8.05,-34.85,2,1,,0,"Sugar Termina, Recife, Brazil",Magda,Malta,338,Berthed,1,3,1,2,,
,4/8/01,,-99,Actual,Boarding,Cameroon,Cameroon,471,4.0431667,9.6666667,2,1,,0,"Douala, Cameroon",Grudun II,Panama,95,Berthed,1,3,1,2,,
,4/10/01,12:20:00 PM,2,Attempted,,Somalia,Somalia,520,-0.1466667,44.1033333,1,1,,1,"90 miles East of Khisimaio, Somalia",MSC Floriana,Panama,95,Steaming,1,1,0,-99,,
,4/11/01,2:25:00 AM,4,Actual,Boarding,Nigeria,Nigeria,475,6.45,3.3766667,2,1,,0,"Lagos, Nigeria",Marine Universal II,Panama,95,Anchored,1,2,1,2,,
,4/12/01,4:40:00 AM,4,Attempted,,Yemen,Yemen,679,12.9166667,48.3333333,1,1,,1,Gulf of  Aden,Daidy Duck,UK,200,Steaming,1,1,0,-99,,
,4/12/01,4:40:00 AM,4,Attempted,,India,India,750,13.0931667,80.2931667,2,1,,1,"Chennai Anchorage, India",Kota Manis,Marshall Islands,983,Anchored,0,2,0,-99,,
,4/13/01,2:50:00 AM,4,Actual,Boarding,Nigeria,Nigeria,475,6.45,3.3766667,2,1,,0,"Lagos Anchorage, Nigeria",Cheetah,Bahamas,51,Anchored,0,2,1,2,,
,4/13/01,2:55:00 PM,2,Actual,Boarding,Bangladesh,Bangladesh,771,22.2188333,91.7116667,1,1,,1,"Chittagong B Anchorage, Bangladesh",Paulina,Panama,95,Anchored,0,2,1,2,,
,4/16/01,1:45:00 AM,4,Attempted,,Indonesia,Indonesia,850,2.05,108.8,1,1,,1,Indonesia,Ace Dragon,Panama,95,Steaming,0,1,0,-99,,
,4/16/01,7:35:00 PM,3,Attempted,,China,China,710,24.5666667,109.0666667,1,1,,1,East China Sea,CEC Force,Denmark,390,Steaming,0,1,0,-99,,
,4/17/01,,-99,Actual,Boarding,Bangladesh,Bangladesh,771,22.4765,89.5765,2,1,,1,"Mongla, Bangladesh",Agia Kyriaki,MAlta,338,Anchored,0,2,1,2,,
,4/18/01,4:47:00 AM,4,Attempted,,Indonesia,Indonesia,850,5.5833333,97.8166667,1,1,,1,Indonesia,Norasia Sharjah,Liberia,450,Steaming,0,1,0,-99,,
,4/20/01,3:35:00 AM,4,Actual,Boarding,India,India,750,13.0931667,80.2931667,2,1,,1,"Chennai Anchorage, India",Tiger Rhythm,Cyprus,352,Anchored,0,2,1,2,,
,4/20/01,11:00:00 AM,1,Attempted,,China,China,710,25.85,120.75,1,1,,1,East China Sea,Nord Ace,Panama,95,Steaming,0,1,0,-99,,
,4/20/01,10:00:00 PM,3,Actual,Boarding,Haiti,Haiti,41,18.4166667,-70,2,1,,1,"Rio Haina, Dominican Republic",Chaleur Bay,Italy,325,Berthed,0,3,1,2,,
,4/22/01,4:05:00 AM,4,Actual,Boarding,Malaysia,Malaysia,820,5.8266667,118.1166667,2,1,,1,"Sandakan, Malaysia",Bunga Melawis Dua,Malaysia,820,Anchored,0,2,1,2,,
,4/22/01,,-99,Actual,Boarding,Ghana,Ghana,452,5.6166667,-0.0166667,2,1,,0,"Tema Anchorage, Ghana",P & O Nedlloyd,Germany,255,Anchored,1,2,1,2,,
,4/24/01,1:45:00 AM,4,Actual,Boarding,Ghana,Ghana,452,5.6166667,-0.0166667,2,1,,1,"Tema Port, Ghana",Houston,Bahamas,51,Anchored,1,2,1,2,,
,4/25/01,,-99,Actual,Hijacked,Indonesia,Indonesia,850,4.223,98.3642,4,1,,0,"Kampi Island, Pankalan Susu, Indonesia",Arbey Jaya,Indonesia,850,Steaming,1,1,1,1,,
,4/27/01,2:25:00 AM,4,Attempted,,China,China,710,14.8666667,113.9666667,1,1,,0,South China Sea,Maria,Norway,385,Steaming,0,1,0,-99,,
,4/27/01,9:00:00 PM,3,Actual,Boarding,Vietnam,Vietnam,816,20.9355,107.0891667,2,1,,1,"Hongai Pilot Boarding Ground, Vietnam",Siam Veera,Thailand,800,Anchored,0,2,1,2,,
,4/27/01,,-99,Actual,Hijacked,India,India,750,22.5265,88.3166667,4,1,,1,"Bay of Bengal near Calcutta, India",Jubilee,Panama,95,Steaming,1,1,1,1,,
,5/4/01,11:40:00 PM,3,Attempted,,China,China,710,16.0333333,113.7116667,1,1,,1,South China Sea,Great Prestige,Hong Kong,710,Steaming,0,1,0,-99,,
,5/4/01,,-99,Attempted,,Indonesia,Indonesia,850,5.1666667,97.1333333,2,1,,1,"ExxonMobil Jetty, Lhokseumawe, Indonesia",,Indonesia,850,Berthed,1,3,0,-99,,
,5/5/01,5:00:00 PM,3,Actual,Boarding,Thailand,Thailand,800,6.2837,102.0359,4,1,,1,"Takbai, Thailand",,Malaysia,820,Steaming,1,1,1,2,,
,5/6/01,10:30:00 PM,3,Actual,Boarding,Ecuador,Ecuador,130,-2.2666667,-79.9,2,1,,1,"Guayaquil, Ecuador",Hansa Centaur,Liberia,450,Anchored,1,2,1,2,,
,5/9/01,3:30:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,-6.95,110.4166667,2,1,,1,"Semarang, Indonesia",Aspilos,Malta,338,Anchored,0,2,1,2,,
,5/9/01,3:45:00 AM,4,Actual,Boarding,Malaysia,Malaysia,820,5.4166667,100.3431667,2,1,,1,"Penang Inner Anchorage, Malaysia",Gihock,Malaysia,820,Anchored,0,2,1,2,,
,5/11/01,7:40:00 PM,3,Attempted,,Ecuador,Ecuador,130,-2.2666667,-79.9,4,1,,1,"Guayaquil, Ecuador",Nordcloud,Cyprus,352,Steaming,0,1,0,-99,,
,5/12/01,1:00:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,-6.1166667,126.4666667,1,1,,1,Indonesia,Top Beauty,Liberia,450,Steaming,0,1,1,2,,
,5/12/01,2:30:00 AM,4,Actual,Boarding,Gabon,Gabon,481,0.2833333,9.45,1,1,,0,"Owendo Anchorage, Gabon",Pointe Clairette,St. Vincent and Grenadines,57,Anchored,1,2,1,2,,
,5/12/01,4:30:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,3.7766667,98.6766667,2,1,,1,"Belawan Anchorage, Indonesia",Princess of Penang,Panama,95,Anchored,1,2,1,2,,
,5/14/01,9:00:00 PM,3,Actual,Boarding,Bangladesh,Bangladesh,771,22.2166667,91.7931667,2,1,,1,"Chittagong Anchorage, Bangladesh",Mirna ,Croatia,344,Anchored,0,2,1,2,,
,5/15/01,,-99,Actual,Boarding,India,India,750,13.0866667,80.3483333,1,1,,0,"Chennai Anchorage, India",Pacific Champion,UK,200,Anchored,0,2,1,2,,
,5/16/01,3:00:00 AM,4,Actual,Boarding,Morocco,Morocco,600,30.4265,-9.6265,2,1,,1,"Agadir, Morocco",Lootsgracht,Netherlands,210,Berthed,1,3,1,2,,
,5/16/01,4:30:00 PM,2,Actual,Boarding,Trinidad and Tobago,Trinidad & Tobago,52,10.691,-61.7517,3,1,,0,"Chachchacare Island, 8NM W of Trinidad, Trinidad and Tobago",Schatzie,Germany,255,Steaming,0,1,1,2,,
,5/20/01,2:07:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,-6.0886667,106.875,2,1,,0,"Tg. Priok Anchorage, Indonesia",Feeder 6,Vanuatu,935,Anchored,0,2,1,2,,
,5/22/01,1:30:00 AM,4,Actual,Boarding,Nigeria,Nigeria,475,6.45,3.3766667,2,1,,1,"Lagos pilot station, Nigeria",Jag Rahul,India,750,Anchored,0,2,1,2,,
,5/22/01,2:44:00 AM,4,Actual,Boarding,Iran,Iran,630,30.4166667,49.0666667,2,1,,1,"Bandar Imam Khomeyni, Iran",Lady Nil,Turkey,640,Anchored,0,2,1,2,,
,5/22/01,,-99,Actual,Missing,Saudi Arabia,Saudi Arabia,670,27.2265,34.8265,2,1,,0,"Hurghada, Red Sea, Egypt",,Netherlands,210,Anchored,0,2,1,5,,
,5/22/01,,-99,Actual,Boarding,Indonesia,Indonesia,850,-1.4433333,116.7666667,2,1,,1,"Lawi-Lawi Balikpapan, Indonesia",Cook Spirit,Bahamas,51,Anchored,0,2,1,2,,
,5/23/01,3:45:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,3.7766667,98.6766667,2,1,,1,"Belawan Anchorage, Indonesia",Clipperventure,Liberia,450,Anchored,0,2,1,2,,
,5/23/01,8:30:00 PM,3,Actual,Boarding,Vietnam,Vietnam,816,10.344,107.0568333,2,1,,1,"Vung Tau, Vietnam",Baltimar Okeanos,Bahamas,51,Anchored,0,2,1,2,,
,5/24/01,10:30:00 AM,1,Actual,Boarding,Haiti,Haiti,41,19.02,-68.9983333,2,1,,0,"Bahia Reyes, Puerto Icaro, Dominican Republic",La Bulle,Antigua and Barbuda,58,Anchored,1,2,1,2,,
,5/24/01,1:10:00 PM,2,Actual,Boarding,Indonesia,Indonesia,850,3.7766667,98.6766667,2,1,,0,"Belawan Port, Indonesia",Monalisa,Singapore,830,Anchored,1,2,1,2,,
,5/26/01,5:30:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,-6.0886667,106.875,2,1,,1,"Cargo Acnhorage, Tg. Priok Jakarta, Indonesia",Able Pilot,Malaysia,820,Anchored,1,2,1,2,,
,5/26/01,4:25:00 PM,2,Actual,Boarding,Egypt,Egypt,651,29.9666667,32.5431667,2,1,,1,"Outer anchorage, Suez Canal, Egypt",Ville De Tanya,France,220,Anchored,1,2,1,2,,
,5/28/01,1:05:00 AM,4,Actual,Boarding,Vietnam,Vietnam,816,10.344,107.0568333,2,1,,1,"Vung Tau, Vietnam",Petro Avance,Singapore,830,Anchored,0,2,1,2,,
,5/28/01,4:12:00 AM,4,Attempted,,India,India,750,13.0931667,80.2931667,2,1,,0,"Chennai Anchorage, India",Tiger Metro,Cyprus,352,Anchored,0,2,0,-99,,
,5/29/01,6:00:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,-6.0166667,106.8833333,1,1,,1,"Tg. Priok Anchorage, Indonesia",Dehkhoda,Iran,630,Anchored,0,2,1,2,,
,5/31/01,4:20:00 AM,4,Actual,Boarding,India,India,750,13.0931667,80.2931667,2,1,,1,"Chennai Roads, India",Seto,Panama,95,Anchored,0,2,1,2,,
,5/31/01,8:00:00 PM,3,Actual,Boarding,Bangladesh,Bangladesh,771,22.4765,89.5765,2,1,,1,"Jetty No, 5, Mongla, Bangladesh",Halla No. 5,Panama,95,Berthed,1,3,1,2,,
,6/1/01,7:20:00 PM,3,Actual,Boarding,Indonesia,Indonesia,850,3.7766667,98.6766667,2,1,,1,"Belawan Port, Indonesia",Scarlet Trader,Norway,385,Berthed,0,3,1,2,,
,6/4/01,1:00:00 AM,4,Attempted,,Tanzania,Tanzania,510,-6.758,39.3361667,1,1,,1,"Dar Es Salaam, Tanzania",Budi Teguh,Malaysia,820,Anchored,0,2,0,-99,,
,6/6/01,,-99,Actual,Boarding,Bangladesh,Bangladesh,771,22.4765,89.5765,2,1,,1,"Pussur River, Mongla, Bangladesh",Caravaggio,Malta,338,Berthed,0,3,1,2,,
,6/7/01,2:43:00 AM,4,Attempted,,Philippines,Philippines,840,5.5878333,123.0788333,1,1,,1,Philippines,Rainbow,Liberia,450,Steaming,0,1,0,-99,,
,6/12/01,2:20:00 AM,4,Actual,Boarding,Tanzania,Tanzania,510,-6.77,39.345,1,1,,1,"Dar Es Salaam, Tanzania",Bunga Melor Satu,Malaysia,820,Anchored,1,2,1,2,,
,6/12/01,3:30:00 AM,4,Actual,Boarding,India,India,750,13.0931667,80.2931667,2,1,,1,"Chennai Roads, India",Tiger Bridge,Cyprus,352,Anchored,1,2,1,2,,
,6/13/01,5:00:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,1.45,106.2666667,1,1,,1,Indonesia,Miri Energy,Malaysia,830,Steaming,1,1,1,2,,
,6/14/01,11:20:00 PM,3,Actual,Boarding,Bangladesh,Bangladesh,771,22.2166667,91.7931667,2,1,,1,"Chittagong Anchorage, Bangladesh",Eminence,Singapore,830,Anchored,1,2,1,2,,
,6/14/01,,-99,Actual,Hijacked,Philippines,Philippines,840,6.404,117.9173,4,1,,0,"Waters of Sabah, Malaysia",,Malaysia,820,Steaming,1,1,1,1,,
,6/14/01,,-99,Actual,Hijacked,Philippines,Philippines,840,6.404,117.9173,4,1,,0,"Waters of Sabah, Malaysia",,Malaysia,820,Steaming,1,1,1,1,,
,6/14/01,,-99,Actual,Hijacked,Philippines,Philippines,840,6.404,117.9173,4,1,,0,"Waters of Sabah, Malaysia",,Malaysia,820,Steaming,1,1,1,1,,
,6/14/01,,-99,Actual,Hijacked,Philippines,Philippines,840,6.404,117.9173,4,1,,0,"Waters of Sabah, Malaysia",,Malaysia,820,Steaming,1,1,1,1,,
,6/14/01,,-99,Actual,Hijacked,Philippines,Philippines,840,6.404,117.9173,4,1,,0,"Waters of Sabah, Malaysia",,Malaysia,820,Steaming,1,1,1,1,,
,6/14/01,,-99,Actual,Hijacked,Philippines,Philippines,840,6.404,117.9173,4,1,,0,"Waters of Sabah, Malaysia",,Malaysia,820,Steaming,1,1,1,1,,
,6/16/01,4:45:00 AM,4,Attempted,,Malaysia,Malaysia,820,5.4166667,100.3431667,2,1,,1,"Penang Anchorage, Malaysia",Manna,Malta,338,Anchored,0,2,0,-99,,
,6/16/01,9:20:00 PM,3,Actual,Boarding,Bangladesh,Bangladesh,771,22.2166667,91.7931667,2,1,,1,"Chittagong Anchorage, Bangladesh",Asean Premier,Singapore,830,Anchored,0,2,1,2,,
,6/17/01,3:20:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,-6.0433333,105.9166667,2,1,,1,"Tripolyta 'A' Jetty, Anyer, Indonesia",Loyalty,Singapore,830,Berthed,0,3,1,2,,
,6/19/01,,-99,Actual,Hijacked,Indonesia,Indonesia,850,-5.5506,106.5227,4,1,,1,"Near Pulau Iyu Kecil, Malacca Straits",Selayang,Malaysia,820,Steaming,1,1,1,1,,
,6/20/01,1:00:00 AM,4,Actual,Boarding,Indonesia,Indonesia,850,-6.0886667,106.875,2,1,,1,"Jakarta Anchorage, Indonesia",QC Teal,Bangladesh,771,Anchored,0,2,1,2,,
,6/20/01,4:00:00 AM,4,Actual,Boarding,Malaysia,Malaysia,820,5.8266667,118.1166667,2,1,,1,"Sandakan Anchorage, Malaysia",Johan III,Malaysia,820,Anchored,0,2,1,2,,
